18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
34       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 04:02:28                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3-14, 14:11:47                             ; PROFILE DATE, TIME (UT) START
2013- 3-14, 14:22:19                             ; PROFILE DATE, TIME (UT) END
2013- 3-14, 14:17: 3                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 2-16, 18:55:12                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.455e+018, 4.809e+016, 350.0, 3.30, 2.00, 58.30, 1.93, 9.325e+002, 9.325e+000, 270.60, 2.00, 2.496e+025, 2.496e+023
746.0, 1.455e+018, 5.218e+016, 350.0, 3.59, 2.00, 58.42, 2.10, 9.290e+002, 9.290e+000, 270.27, 2.00, 2.490e+025, 2.490e+023
776.0, 1.453e+018, 5.624e+016, 350.0, 3.87, 2.00, 58.52, 2.26, 9.255e+002, 9.255e+000, 269.94, 2.00, 2.483e+025, 2.483e+023
806.0, 1.455e+018, 6.042e+016, 350.0, 4.15, 2.00, 58.74, 2.44, 9.220e+002, 9.220e+000, 269.60, 2.00, 2.477e+025, 2.477e+023
836.0, 1.467e+018, 6.651e+016, 350.0, 4.53, 2.00, 59.38, 2.69, 9.185e+002, 9.185e+000, 269.32, 2.00, 2.470e+025, 2.470e+023
866.0, 1.472e+018, 7.237e+016, 350.0, 4.92, 2.00, 59.77, 2.94, 9.150e+002, 9.150e+000, 269.04, 2.00, 2.463e+025, 2.463e+023
896.0, 1.458e+018, 7.725e+016, 350.0, 5.30, 2.00, 59.37, 3.14, 9.115e+002, 9.115e+000, 268.76, 2.00, 2.457e+025, 2.457e+023
926.0, 1.456e+018, 8.264e+016, 350.0, 5.68, 2.00, 59.42, 3.37, 9.081e+002, 9.081e+000, 268.47, 2.00, 2.450e+025, 2.450e+023
956.0, 1.446e+018, 8.759e+016, 350.0, 6.06, 2.00, 59.18, 3.59, 9.046e+002, 9.046e+000, 268.19, 2.00, 2.443e+025, 2.443e+023
986.0, 1.415e+018, 9.369e+016, 350.0, 6.62, 2.00, 58.09, 3.85, 9.012e+002, 9.012e+000, 267.91, 2.00, 2.436e+025, 2.436e+023
1016.0, 1.408e+018, 1.011e+017, 350.0, 7.18, 2.00, 57.97, 4.16, 8.977e+002, 8.977e+000, 267.63, 2.00, 2.429e+025, 2.429e+023
1046.0, 1.406e+018, 1.089e+017, 350.0, 7.74, 2.00, 58.05, 4.49, 8.943e+002, 8.943e+000, 267.35, 2.00, 2.423e+025, 2.423e+023
1076.0, 1.403e+018, 1.165e+017, 350.0, 8.30, 2.00, 58.08, 4.82, 8.909e+002, 8.909e+000, 267.07, 2.00, 2.416e+025, 2.416e+023
1106.0, 1.419e+018, 1.258e+017, 350.0, 8.87, 2.00, 58.89, 5.22, 8.874e+002, 8.874e+000, 266.79, 2.00, 2.409e+025, 2.409e+023
1136.0, 1.424e+018, 1.391e+017, 350.0, 9.77, 2.00, 59.26, 5.79, 8.841e+002, 8.841e+000, 266.52, 2.00, 2.402e+025, 2.402e+023
1166.0, 1.396e+018, 1.490e+017, 350.0, 10.67, 2.00, 58.27, 6.22, 8.807e+002, 8.807e+000, 266.26, 2.00, 2.396e+025, 2.396e+023
1196.0, 1.393e+018, 1.613e+017, 350.0, 11.58, 2.00, 58.31, 6.75, 8.773e+002, 8.773e+000, 265.99, 2.00, 2.389e+025, 2.389e+023
1226.0, 1.390e+018, 1.735e+017, 350.0, 12.48, 2.00, 58.35, 7.28, 8.739e+002, 8.739e+000, 265.72, 2.00, 2.382e+025, 2.382e+023
1256.0, 1.374e+018, 1.839e+017, 350.0, 13.38, 2.00, 57.85, 7.74, 8.705e+002, 8.705e+000, 265.45, 2.00, 2.375e+025, 2.375e+023
1286.0, 1.372e+018, 1.514e+017, 350.0, 11.04, 2.00, 57.91, 6.39, 8.672e+002, 8.672e+000, 265.17, 2.00, 2.369e+025, 2.369e+023
1316.0, 1.367e+018, 1.189e+017, 350.0, 8.70, 2.00, 57.89, 5.03, 8.639e+002, 8.639e+000, 264.89, 2.00, 2.362e+025, 2.362e+023
1346.0, 1.353e+018, 8.593e+016, 350.0, 6.35, 2.00, 57.44, 3.65, 8.605e+002, 8.605e+000, 264.60, 2.00, 2.355e+025, 2.355e+023
1376.0, 1.355e+018, 5.430e+016, 350.0, 4.01, 2.00, 57.68, 2.31, 8.572e+002, 8.572e+000, 264.32, 2.00, 2.349e+025, 2.349e+023
1406.0, 1.361e+018, 2.264e+016, 350.0, 1.66, 2.00, 58.10, 0.97, 8.539e+002, 8.539e+000, 264.04, 2.00, 2.342e+025, 2.342e+023
1436.0, 1.367e+018, 2.387e+016, 550.0, 1.75, 3.00, 58.54, 1.02, 8.506e+002, 8.506e+000, 263.75, 2.00, 2.336e+025, 2.336e+023
1466.0, 1.344e+018, 2.456e+016, 550.0, 1.83, 3.00, 57.69, 1.05, 8.473e+002, 8.473e+000, 263.47, 2.00, 2.329e+025, 2.329e+023
1496.0, 1.327e+018, 2.534e+016, 550.0, 1.91, 3.00, 57.12, 1.09, 8.440e+002, 8.440e+000, 263.19, 2.00, 2.323e+025, 2.323e+023
1526.0, 1.339e+018, 2.667e+016, 550.0, 1.99, 3.00, 57.81, 1.15, 8.407e+002, 8.407e+000, 262.90, 2.00, 2.316e+025, 2.316e+023
1556.0, 1.359e+018, 9.964e+015, 550.0, 0.73, 3.00, 58.86, 0.43, 8.374e+002, 8.374e+000, 262.62, 2.00, 2.310e+025, 2.310e+023
1586.0, 1.345e+018, 1.032e+016, 550.0, 0.77, 3.00, 58.39, 0.45, 8.342e+002, 8.342e+000, 262.34, 2.00, 2.303e+025, 2.303e+023
1616.0, 1.327e+018, 1.065e+016, 550.0, 0.80, 3.00, 57.80, 0.46, 8.309e+002, 8.309e+000, 262.06, 2.00, 2.296e+025, 2.296e+023
1646.0, 1.311e+018, 1.097e+016, 550.0, 0.84, 3.00, 57.26, 0.48, 8.277e+002, 8.277e+000, 261.79, 2.00, 2.290e+025, 2.290e+023
1676.0, 1.297e+018, 1.130e+016, 550.0, 0.87, 3.00, 56.79, 0.49, 8.244e+002, 8.244e+000, 261.51, 2.00, 2.283e+025, 2.283e+023
1706.0, 1.285e+018, 1.164e+016, 550.0, 0.91, 3.00, 56.42, 0.51, 8.212e+002, 8.212e+000, 261.23, 2.00, 2.277e+025, 2.277e+023
1736.0, 1.264e+018, 1.195e+016, 550.0, 0.95, 3.00, 55.68, 0.53, 8.180e+002, 8.180e+000, 260.95, 2.00, 2.270e+025, 2.270e+023
1766.0, 1.242e+018, 1.223e+016, 550.0, 0.98, 3.00, 54.88, 0.54, 8.148e+002, 8.148e+000, 260.67, 2.00, 2.264e+025, 2.264e+023
1796.0, 1.228e+018, 1.256e+016, 550.0, 1.02, 3.00, 54.39, 0.56, 8.116e+002, 8.116e+000, 260.39, 2.00, 2.258e+025, 2.258e+023
1826.0, 1.238e+018, 1.315e+016, 550.0, 1.06, 3.00, 54.98, 0.58, 8.084e+002, 8.084e+000, 260.11, 2.00, 2.251e+025, 2.251e+023
1856.0, 1.265e+018, 1.393e+016, 550.0, 1.10, 3.00, 56.37, 0.62, 8.052e+002, 8.052e+000, 259.83, 2.00, 2.245e+025, 2.245e+023
1886.0, 1.261e+018, 1.439e+016, 550.0, 1.14, 3.00, 56.33, 0.64, 8.021e+002, 8.021e+000, 259.56, 2.00, 2.238e+025, 2.238e+023
1916.0, 1.256e+018, 1.484e+016, 550.0, 1.18, 3.00, 56.29, 0.67, 7.989e+002, 7.989e+000, 259.30, 2.00, 2.232e+025, 2.232e+023
1946.0, 1.251e+018, 1.529e+016, 550.0, 1.22, 3.00, 56.24, 0.69, 7.958e+002, 7.958e+000, 259.03, 2.00, 2.225e+025, 2.225e+023
