18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
30       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 03:47:47                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3-12, 14:13:48                             ; PROFILE DATE, TIME (UT) START
2013- 3-12, 14:24:20                             ; PROFILE DATE, TIME (UT) END
2013- 3-12, 14:19: 4                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 2-16, 18:55:12                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, -9.999e+003, 8.991e+005, 350.0, 3.52, 2.00, -9999.00, -9999.00, 9.325e+002, 9.325e+000, 270.60, 2.00, 2.496e+025, 2.496e+023
746.0, -9.999e+003, 8.991e+005, 350.0, 3.76, 2.00, -9999.00, -9999.00, 9.290e+002, 9.290e+000, 270.27, 2.00, 2.490e+025, 2.490e+023
776.0, -9.999e+003, 8.991e+005, 350.0, 4.00, 2.00, -9999.00, -9999.00, 9.255e+002, 9.255e+000, 269.94, 2.00, 2.483e+025, 2.483e+023
806.0, -9.999e+003, 8.991e+005, 350.0, 4.25, 2.00, -9999.00, -9999.00, 9.220e+002, 9.220e+000, 269.60, 2.00, 2.477e+025, 2.477e+023
836.0, -9.999e+003, 8.991e+005, 350.0, 4.61, 2.00, -9999.00, -9999.00, 9.185e+002, 9.185e+000, 269.32, 2.00, 2.470e+025, 2.470e+023
866.0, -9.999e+003, 8.991e+005, 350.0, 4.97, 2.00, -9999.00, -9999.00, 9.150e+002, 9.150e+000, 269.04, 2.00, 2.463e+025, 2.463e+023
896.0, -9.999e+003, 8.991e+005, 350.0, 5.33, 2.00, -9999.00, -9999.00, 9.115e+002, 9.115e+000, 268.76, 2.00, 2.457e+025, 2.457e+023
926.0, -9.999e+003, 8.991e+005, 350.0, 5.69, 2.00, -9999.00, -9999.00, 9.081e+002, 9.081e+000, 268.47, 2.00, 2.450e+025, 2.450e+023
956.0, -9.999e+003, 8.991e+005, 350.0, 6.06, 2.00, -9999.00, -9999.00, 9.046e+002, 9.046e+000, 268.19, 2.00, 2.443e+025, 2.443e+023
986.0, -9.999e+003, 8.991e+005, 350.0, 6.58, 2.00, -9999.00, -9999.00, 9.012e+002, 9.012e+000, 267.91, 2.00, 2.436e+025, 2.436e+023
1016.0, -9.999e+003, 8.991e+005, 350.0, 7.11, 2.00, -9999.00, -9999.00, 8.977e+002, 8.977e+000, 267.63, 2.00, 2.429e+025, 2.429e+023
1046.0, -9.999e+003, 8.991e+005, 350.0, 7.64, 2.00, -9999.00, -9999.00, 8.943e+002, 8.943e+000, 267.35, 2.00, 2.423e+025, 2.423e+023
1076.0, -9.999e+003, 8.991e+005, 350.0, 8.16, 2.00, -9999.00, -9999.00, 8.909e+002, 8.909e+000, 267.07, 2.00, 2.416e+025, 2.416e+023
1106.0, -9.999e+003, 8.991e+005, 350.0, 8.69, 2.00, -9999.00, -9999.00, 8.874e+002, 8.874e+000, 266.79, 2.00, 2.409e+025, 2.409e+023
1136.0, -9.999e+003, 8.991e+005, 350.0, 9.46, 2.00, -9999.00, -9999.00, 8.841e+002, 8.841e+000, 266.52, 2.00, 2.402e+025, 2.402e+023
1166.0, -9.999e+003, 8.991e+005, 350.0, 10.23, 2.00, -9999.00, -9999.00, 8.807e+002, 8.807e+000, 266.26, 2.00, 2.396e+025, 2.396e+023
1196.0, -9.999e+003, 8.991e+005, 350.0, 11.00, 2.00, -9999.00, -9999.00, 8.773e+002, 8.773e+000, 265.99, 2.00, 2.389e+025, 2.389e+023
1226.0, -9.999e+003, 8.991e+005, 350.0, 11.77, 2.00, -9999.00, -9999.00, 8.739e+002, 8.739e+000, 265.72, 2.00, 2.382e+025, 2.382e+023
1256.0, -9.999e+003, 8.991e+005, 350.0, 12.53, 2.00, -9999.00, -9999.00, 8.705e+002, 8.705e+000, 265.45, 2.00, 2.375e+025, 2.375e+023
1286.0, -9.999e+003, 8.991e+005, 350.0, 10.34, 2.00, -9999.00, -9999.00, 8.672e+002, 8.672e+000, 265.17, 2.00, 2.369e+025, 2.369e+023
1316.0, -9.999e+003, 8.991e+005, 350.0, 8.14, 2.00, -9999.00, -9999.00, 8.639e+002, 8.639e+000, 264.89, 2.00, 2.362e+025, 2.362e+023
1346.0, -9.999e+003, 8.991e+005, 350.0, 5.94, 2.00, -9999.00, -9999.00, 8.605e+002, 8.605e+000, 264.60, 2.00, 2.355e+025, 2.355e+023
1376.0, -9.999e+003, 8.991e+005, 350.0, 3.75, 2.00, -9999.00, -9999.00, 8.572e+002, 8.572e+000, 264.32, 2.00, 2.349e+025, 2.349e+023
1406.0, -9.999e+003, 8.991e+005, 350.0, 1.55, 2.00, -9999.00, -9999.00, 8.539e+002, 8.539e+000, 264.04, 2.00, 2.342e+025, 2.342e+023
1436.0, -9.999e+003, 8.991e+005, 550.0, 1.63, 3.00, -9999.00, -9999.00, 8.506e+002, 8.506e+000, 263.75, 2.00, 2.336e+025, 2.336e+023
1466.0, -9.999e+003, 8.991e+005, 550.0, 1.70, 3.00, -9999.00, -9999.00, 8.473e+002, 8.473e+000, 263.47, 2.00, 2.329e+025, 2.329e+023
1496.0, -9.999e+003, 8.991e+005, 550.0, 1.77, 3.00, -9999.00, -9999.00, 8.440e+002, 8.440e+000, 263.19, 2.00, 2.323e+025, 2.323e+023
1526.0, -9.999e+003, 8.991e+005, 550.0, 1.85, 3.00, -9999.00, -9999.00, 8.407e+002, 8.407e+000, 262.90, 2.00, 2.316e+025, 2.316e+023
1556.0, -9.999e+003, 8.991e+005, 550.0, 0.68, 3.00, -9999.00, -9999.00, 8.374e+002, 8.374e+000, 262.62, 2.00, 2.310e+025, 2.310e+023
1586.0, -9.999e+003, 8.991e+005, 550.0, 0.71, 3.00, -9999.00, -9999.00, 8.342e+002, 8.342e+000, 262.34, 2.00, 2.303e+025, 2.303e+023
1616.0, -9.999e+003, 8.991e+005, 550.0, 0.75, 3.00, -9999.00, -9999.00, 8.309e+002, 8.309e+000, 262.06, 2.00, 2.296e+025, 2.296e+023
1646.0, -9.999e+003, 8.991e+005, 550.0, 0.78, 3.00, -9999.00, -9999.00, 8.277e+002, 8.277e+000, 261.79, 2.00, 2.290e+025, 2.290e+023
1676.0, -9.999e+003, 8.991e+005, 550.0, 0.82, 3.00, -9999.00, -9999.00, 8.244e+002, 8.244e+000, 261.51, 2.00, 2.283e+025, 2.283e+023
1706.0, -9.999e+003, 8.991e+005, 550.0, 0.85, 3.00, -9999.00, -9999.00, 8.212e+002, 8.212e+000, 261.23, 2.00, 2.277e+025, 2.277e+023
1736.0, 1.307e+018, 1.173e+016, 550.0, 0.90, 3.00, 57.56, 0.52, 8.180e+002, 8.180e+000, 260.95, 2.00, 2.270e+025, 2.270e+023
1766.0, 1.277e+018, 1.207e+016, 550.0, 0.94, 3.00, 56.40, 0.53, 8.148e+002, 8.148e+000, 260.67, 2.00, 2.264e+025, 2.264e+023
1796.0, 1.236e+018, 1.226e+016, 550.0, 0.99, 3.00, 54.75, 0.54, 8.116e+002, 8.116e+000, 260.39, 2.00, 2.258e+025, 2.258e+023
1826.0, 1.210e+018, 1.257e+016, 550.0, 1.04, 3.00, 53.76, 0.56, 8.084e+002, 8.084e+000, 260.11, 2.00, 2.251e+025, 2.251e+023
1856.0, 1.271e+018, 1.380e+016, 550.0, 1.09, 3.00, 56.62, 0.61, 8.052e+002, 8.052e+000, 259.83, 2.00, 2.245e+025, 2.245e+023
1886.0, 1.253e+018, 1.429e+016, 550.0, 1.14, 3.00, 55.99, 0.64, 8.021e+002, 8.021e+000, 259.56, 2.00, 2.238e+025, 2.238e+023
1916.0, 1.235e+018, 1.475e+016, 550.0, 1.19, 3.00, 55.36, 0.66, 7.989e+002, 7.989e+000, 259.30, 2.00, 2.232e+025, 2.232e+023
